Date,Suburb,State,Postcode,Beds,Baths,Cars,Land,Type,SaleType,Median price,Price,latitude,longitude,dist_to_cbd
19/03/2025,NEWSTEAD,TAS,7250,2,2,2,295,Apartment/Unit/Flat,PRIVATE TREATY,450000,725000,-41.4348906,147.1584747,161.4061653
20/03/2025,WEST LAUNCESTON,TAS,7250,2,1,2,,House,PRIVATE TREATY,540000,725000,-41.4477983,147.1335698,160.1713834
21/03/2025,KINGSTON,TAS,7050,3,2,5,600,House,PRIVATE TREATY,540000,725000,-42.9833858,147.3103277,11.30032732
26/03/2025,BONYTHON,ACT,2905,3,2,2,,Townhouse,PRIVATE TREATY,980000,725000,-35.4260299,149.0704301,14.5229767
26/03/2025,ROKEBY,TAS,7019,3,2,2,515,House,PRIVATE TREATY,540000,725000,-42.8780292,147.4290559,8.26110588
9/04/2025,BELLAMACK,NT,832,4,2,2,758,House,PRIVATE TREATY,460000,725000,-12.5145753,130.987581,17.01731575
14/04/2025,SNUG,TAS,7054,4,2,3,683,House,PRIVATE TREATY,540000,725000,-43.0687954,147.254513,21.54851303
17/04/2025,DICKSON,ACT,2602,2,2,2,,Apartment/Unit/Flat,PRIVATE TREATY,600000,725000,-35.2531061,149.1349918,5.811374745
22/04/2025,PEARCE,ACT,2607,3,1,1,290,Townhouse,PRIVATE TREATY,980000,725000,-35.3636514,149.0885272,7.420195269
22/04/2025,WOOLNER,NT,820,3,2,4,454,House,PRIVATE TREATY,460000,725000,-12.4373706,130.8502016,2.739284706
23/04/2025,PARADISE,SA,5075,3,2,2,,Townhouse,PRIVATE TREATY,495000,725000,-34.8735895,138.6631866,8.372760357
24/04/2025,WYNN VALE,SA,5127,3,1,2,448,House,PRIVATE TREATY,495000,725000,-34.7962342,138.6896037,16.77804312
24/04/2025,CLAREMONT,TAS,7011,5,3,2,588,House,PRIVATE TREATY,540000,725000,-42.786482,147.2302885,13.33340755
27/04/2025,TEA TREE GULLY,SA,5091,3,2,1,348,House,PRIVATE TREATY,495000,725000,-34.8108269,138.7179561,16.90998118
28/04/2025,MARION,SA,5043,2,1,2,313,House,PRIVATE TREATY,495000,725000,-34.9958564,138.5552517,8.545211801
28/04/2025,BECKENHAM,WA,6107,3,2,4,281,House,PRIVATE TREATY,505000,725000,-32.0159287,115.9626051,11.71691451
